"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","CO01_01","CO02_01","CO03_01","CO04_01","CO05_01","CO06_01","CO07_01","CO08_01","CO09_01","CO10_01","CO11_01","CO12_01","CO13_01","CO14_01","CO15_01","CO16_01","CO18_01","CO17_01","CO19_01","CO20_01","RA01_CP","RA01x01","RA01x02","RA01x03","RA01x04","RA01x05","RA01x06","RA01x07","RA01x08","RA01x09","RA01x10","RA01x11","RA01x12","RA01x13","RA01x14","RA01x15","RA01x16","RA01x17","RA01x18","RA01x19","RA01x20","DE01","DE02_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE"
"39",82,NA,NA,"base","interview","2020-07-04 09:02:42",32,35,10,16,12,45,32,88,48,55,95,81,62,8,55,45,50,71,96,48,42,6,18,3,5,1,9,7,17,2,13,19,16,14,4,12,8,15,10,20,11,2,"20",2949,1,30,1,6,1,16,1,12,1,12,1,4,1,5,2,4,1,6,1,3,1,3,1,4,1,4,1,4,1,4,2,5,2,4,1,3,1,3,1,4,8,113,NA,"2020-07-04 09:54:39",TRUE,FALSE,42,42
"40",83,NA,NA,"base","interview","2020-07-04 09:02:55",77,69,98,6,78,52,38,35,26,5,54,9,93,37,7,96,41,61,51,67,43,16,14,20,3,18,10,7,8,5,1,11,4,17,9,2,19,12,6,13,15,2,"21",2906,1,6,1,8,1,3,1,7,1,3,1,3,1,4,1,5,1,5,1,3,1,4,1,3,2,2,2,3,1,2,1,2,2,4,2,2,2,2,1,3,8,113,NA,"2020-07-04 09:53:08",TRUE,FALSE,42,42
"41",84,NA,NA,"base","interview","2020-07-04 09:03:02",55,91,55,72,41,45,56,95,59,51,7,88,55,9,31,35,90,11,10,46,44,15,19,11,16,8,6,14,20,13,10,2,18,12,4,5,7,1,17,3,9,2,"23",2898,3,16,2,4,1,3,2,2,2,2,2,3,2,3,1,2,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,1,2,2,2,7,104,NA,"2020-07-04 09:53:03",TRUE,FALSE,42,42
"42",85,NA,NA,"base","interview","2020-07-04 09:07:26",46,89,41,89,47,7,81,23,6,35,75,34,33,11,61,98,57,69,24,80,45,12,19,9,20,10,3,17,5,1,7,15,6,8,2,13,18,14,11,4,16,2,"21",2700,1,8,2,5,1,8,2,4,1,7,2,4,2,5,1,6,2,5,1,7,1,5,1,6,1,5,1,4,1,6,1,4,2,4,2,4,1,5,1,6,7,136,NA,"2020-07-04 09:54:50",TRUE,FALSE,42,42
"43",86,NA,NA,"base","interview","2020-07-04 09:50:40",68,13,43,10,97,29,96,45,54,77,16,52,19,92,56,18,82,78,20,39,46,14,4,8,3,19,6,18,9,11,16,12,10,5,20,13,2,17,15,1,7,2,"23",18,1,7,1,6,1,4,1,3,1,3,1,5,1,2,1,2,1,3,1,2,1,4,1,2,1,2,1,3,1,3,1,2,2,1,2,2,1,3,1,2,5,105,NA,"2020-07-04 09:52:27",TRUE,FALSE,42,42
"44",87,NA,NA,"base","interview","2020-07-04 09:50:40",95,55,49,77,36,7,57,81,59,45,26,48,31,31,93,18,32,8,95,17,47,18,13,10,16,9,2,14,17,12,15,5,11,8,7,19,4,1,6,20,3,2,"21",84,1,4,1,6,1,2,1,3,1,3,1,2,1,3,1,2,1,3,1,3,1,4,2,2,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,5,94,NA,"2020-07-04 09:53:30",TRUE,FALSE,42,42
"45",88,NA,NA,"base","interview","2020-07-04 09:50:43",13,39,47,60,49,59,15,93,79,88,88,57,56,35,91,9,69,12,37,30,48,3,8,9,14,10,13,4,20,16,18,17,11,12,6,19,2,1,15,7,5,2,"20",18,2,6,1,5,1,4,2,4,1,4,1,4,2,5,2,3,2,4,1,4,1,4,1,5,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,7,132,NA,"2020-07-04 09:52:58",TRUE,FALSE,42,42
"46",89,NA,NA,"base","interview","2020-07-04 09:50:54",5,74,83,50,5,7,2,26,40,31,35,49,62,61,60,71,87,85,86,3,49,8,16,17,10,3,4,2,5,9,6,7,12,13,14,11,15,18,20,19,1,2,"21",3,2,17,2,2,2,3,1,2,1,3,1,4,1,2,1,4,1,4,2,4,1,4,1,2,1,4,1,2,1,4,1,2,1,2,1,2,1,5,1,3,6,94,NA,"2020-07-04 09:52:42",TRUE,FALSE,42,42
"47",90,NA,NA,"base","interview","2020-07-04 09:51:03",52,39,29,73,57,58,73,7,93,96,44,53,23,46,22,25,54,96,3,99,50,13,7,5,16,12,14,15,2,18,20,8,11,3,9,6,4,19,10,1,17,2,"33",107,1,7,1,6,1,3,1,4,1,3,1,4,1,3,1,3,1,2,2,2,1,3,1,2,2,3,1,3,1,2,1,2,1,2,1,2,1,2,2,2,6,95,NA,"2020-07-04 09:54:19",TRUE,FALSE,42,42
"48",91,NA,NA,"base","interview","2020-07-04 09:51:09",58,77,33,14,45,80,40,57,53,28,36,73,90,63,52,30,36,87,86,60,51,10,20,5,2,9,17,6,4,11,3,8,15,19,14,12,1,18,7,16,13,2,"20",31,1,13,1,4,1,5,1,5,1,3,1,3,1,4,1,14,1,3,1,3,1,3,1,2,1,3,1,2,2,2,1,2,1,2,1,2,1,4,1,2,8,129,NA,"2020-07-04 09:53:31",TRUE,FALSE,42,42
"49",92,NA,NA,"base","interview","2020-07-04 09:51:49",33,58,56,75,23,46,62,52,15,90,37,8,85,16,49,69,75,18,32,81,52,7,13,10,15,5,9,12,11,3,20,8,4,19,2,14,16,1,17,6,18,2,"23",31,1,6,1,3,1,3,1,4,1,4,1,2,2,5,1,3,1,4,1,2,1,4,1,4,2,2,2,4,1,5,1,4,1,4,1,5,1,3,1,2,6,132,NA,"2020-07-04 09:54:02",TRUE,FALSE,42,42
"50",93,NA,NA,"base","interview","2020-07-04 09:51:57",92,87,22,14,76,71,8,95,29,41,59,47,87,9,51,11,42,64,31,50,53,17,6,20,4,16,15,3,19,5,7,13,8,18,1,11,2,12,9,14,10,2,"22",21,3,5,2,14,1,9,1,5,1,5,1,3,1,2,2,2,1,3,1,3,1,2,2,2,1,2,2,2,2,3,1,2,2,2,1,2,1,7,1,2,4,111,NA,"2020-07-04 09:54:07",TRUE,FALSE,42,42
"51",94,NA,NA,"base","interview","2020-07-04 09:52:01",30,97,60,26,99,82,54,24,32,60,48,61,40,12,35,83,34,49,80,12,54,5,19,15,3,20,18,13,4,6,11,10,12,9,1,7,17,14,8,16,2,2,"23",20,1,11,2,3,1,4,1,4,1,3,1,4,1,3,1,3,1,4,1,3,1,4,1,3,1,3,1,3,1,3,1,3,2,3,1,3,1,3,1,3,4,119,NA,"2020-07-04 09:54:00",TRUE,FALSE,42,42
"53",97,NA,NA,"base","interview","2020-07-04 10:00:34",47,11,88,23,40,32,60,13,88,60,23,16,88,92,67,41,57,47,60,46,57,11,2,17,5,7,6,14,1,20,15,4,3,19,18,16,8,9,12,13,10,2,"21",24,2,9,1,6,1,7,2,5,1,4,1,5,1,4,1,4,1,5,2,3,2,4,1,4,2,3,2,5,1,5,2,5,2,4,2,5,1,5,1,7,8,144,NA,"2020-07-04 10:03:14",TRUE,FALSE,42,42
"54",98,NA,NA,"base","interview","2020-07-08 21:02:22",4,100,69,73,52,36,51,24,9,26,62,53,13,54,44,95,5,96,71,5,58,1,17,18,16,10,8,12,6,4,7,14,13,5,11,9,19,20,2,15,3,2,"40",9,1,7,1,3,1,4,2,2,2,2,2,2,2,2,1,4,1,3,1,3,1,3,1,2,1,3,1,2,1,3,1,2,2,2,1,2,1,3,1,2,12,95,NA,"2020-07-08 21:04:05",TRUE,FALSE,42,42
